+1 1:39 2:43 3:4 4:1 5:3 6:0
+1 1:39 2:29 3:4 4:3 5:2 6:3
+1 1:35 2:24 3:2 4:0 5:7 6:2
+1 1:63 2:49 3:0 4:0 5:0 6:0
+1 1:23 2:31 3:1 4:0 5:3 6:0
+1 1:70 2:34 3:2 4:0 5:1 6:0
+1 1:53 2:44 3:1 4:3 5:4 6:8
+1 1:49 2:16 3:1 4:0 5:3 6:2
+1 1:15 2:19 3:2 4:2 5:0 6:2
+1 1:34 2:24 3:0 4:3 5:0 6:0
+1 1:44 2:46 3:1 4:3 5:4 6:0
+1 1:67 2:38 3:0 4:0 5:8 6:1
+1 1:31 2:12 3:3 4:0 5:2 6:3
+1 1:15 2:16 3:0 4:4 5:1 6:0
+1 1:58 2:46 3:0 4:3 5:2 6:0
+1 1:43 2:21 3:4 4:3 5:1 6:2
+1 1:18 2:12 3:1 4:0 5:2 6:0
+1 1:56 2:34 3:3 4:3 5:3 6:1
+1 1:35 2:26 3:0 4:0 5:3 6:0
+1 1:29 2:20 3:2 4:0 5:1 6:2
+1 1:18 2:10 3:0 4:0 5:0 6:0
+1 1:53 2:31 3:2 4:3 5:5 6:0
+1 1:32 2:18 3:0 4:0 5:0 6:1
+1 1:64 2:42 3:3 4:0 5:4 6:1
+1 1:43 2:54 3:0 4:1 5:0 6:2
+1 1:44 2:26 3:1 4:2 5:0 6:0
+1 1:38 2:17 3:1 4:0 5:0 6:0
+1 1:91 2:52 3:8 4:2 5:6 6:0
+1 1:65 2:41 3:6 4:2 5:0 6:0
+1 1:61 2:44 3:0 4:0 5:1 6:0
+1 1:73 2:50 3:1 4:1 5:1 6:3
+1 1:66 2:58 3:0 4:0 5:0 6:0
+1 1:47 2:43 3:3 4:0 5:4 6:2
+1 1:68 2:72 3:2 4:0 5:3 6:3
+1 1:34 2:22 3:0 4:1 5:1 6:2
+1 1:49 2:11 3:0 4:0 5:3 6:2
+1 1:27 2:19 3:0 4:0 5:0 6:0
+1 1:62 2:39 3:0 4:0 5:0 6:0
+1 1:31 2:13 3:0 4:0 5:1 6:0
+1 1:49 2:20 3:0 4:0 5:3 6:3
+1 1:52 2:21 3:1 4:0 5:5 6:1
+1 1:56 2:58 3:1 4:0 5:3 6:0
+1 1:61 2:23 3:4 4:0 5:1 6:0
+1 1:41 2:19 3:1 4:0 5:7 6:2
+1 1:56 2:16 3:3 4:1 5:0 6:0
+1 1:48 2:34 3:0 4:0 5:5 6:0
+1 1:48 2:52 3:0 4:0 5:3 6:3
+1 1:35 2:35 3:0 4:2 5:1 6:0
+1 1:44 2:9 3:2 4:1 5:2 6:1
+1 1:17 2:13 3:0 4:2 5:3 6:0
+1 1:21 2:16 3:0 4:0 5:3 6:0
+1 1:59 2:28 3:0 4:0 5:6 6:0
+1 1:36 2:11 3:0 4:0 5:2 6:0
+1 1:50 2:61 3:2 4:4 5:5 6:0
+1 1:33 2:20 3:1 4:3 5:0 6:0
+1 1:54 2:19 3:2 4:2 5:2 6:0
+1 1:25 2:17 3:1 4:2 5:0 6:0
+1 1:12 2:3 3:1 4:1 5:1 6:0
+1 1:14 2:15 3:3 4:0 5:1 6:4
+1 1:45 2:44 3:0 4:2 5:0 6:3
+1 1:66 2:36 3:2 4:0 5:4 6:4
+1 1:42 2:26 3:1 4:0 5:0 6:0
+1 1:64 2:49 3:1 4:2 5:4 6:0
+1 1:17 2:23 3:0 4:0 5:2 6:0
+1 1:41 2:40 3:0 4:0 5:2 6:6
+1 1:47 2:52 3:1 4:0 5:0 6:0
+1 1:27 2:22 3:2 4:0 5:6 6:6
+1 1:41 2:37 3:1 4:2 5:1 6:3
+1 1:41 2:25 3:2 4:1 5:6 6:4
+1 1:52 2:35 3:2 4:8 5:1 6:0
+1 1:43 2:38 3:5 4:1 5:5 6:1
+1 1:55 2:25 3:2 4:1 5:5 6:0
+1 1:47 2:27 3:2 4:1 5:5 6:1
+1 1:50 2:29 3:0 4:0 5:2 6:2
+1 1:77 2:45 3:0 4:0 5:0 6:0
+1 1:17 2:12 3:2 4:0 5:1 6:0
+1 1:67 2:52 3:1 4:0 5:0 6:0
+1 1:36 2:22 3:5 4:0 5:0 6:0
+1 1:36 2:19 3:1 4:1 5:0 6:0
+1 1:19 2:32 3:2 4:2 5:0 6:0
+1 1:26 2:22 3:3 4:0 5:0 6:0
+1 1:57 2:22 3:0 4:0 5:4 6:0
+1 1:27 2:17 3:0 4:0 5:0 6:0
+1 1:76 2:30 3:0 4:2 5:10 6:0
+1 1:52 2:31 3:2 4:4 5:4 6:3
+1 1:36 2:14 3:0 4:1 5:3 6:0
+1 1:67 2:37 3:1 4:1 5:3 6:0
+1 1:55 2:36 3:0 4:3 5:4 6:0
+1 1:59 2:38 3:8 4:5 5:2 6:3
+1 1:36 2:18 3:4 4:2 5:2 6:0
+1 1:13 2:17 3:2 4:4 5:0 6:0
+1 1:29 2:29 3:1 4:0 5:3 6:1
+1 1:40 2:46 3:0 4:1 5:9 6:2
+1 1:30 2:16 3:2 4:1 5:0 6:0
+1 1:72 2:19 3:4 4:1 5:0 6:1
+1 1:37 2:32 3:0 4:2 5:3 6:0
+1 1:50 2:33 3:3 4:5 5:3 6:2
+1 1:39 2:39 3:0 4:3 5:0 6:3
+1 1:17 2:29 3:0 4:1 5:1 6:3
+1 1:56 2:57 3:0 4:1 5:0 6:1
+1 1:49 2:27 3:1 4:5 5:5 6:2
+1 1:57 2:44 3:0 4:0 5:9 6:0
+1 1:52 2:28 3:1 4:1 5:0 6:0
+1 1:47 2:28 3:4 4:0 5:0 6:0
+1 1:27 2:28 3:1 4:1 5:0 6:0
+1 1:73 2:71 3:0 4:4 5:0 6:0
+1 1:44 2:48 3:4 4:1 5:2 6:2
+1 1:28 2:42 3:0 4:4 5:1 6:5
+1 1:25 2:17 3:1 4:3 5:1 6:3
+1 1:44 2:59 3:3 4:3 5:5 6:4
+1 1:64 2:40 3:0 4:2 5:1 6:2
+1 1:19 2:8 3:3 4:0 5:0 6:0
+1 1:53 2:51 3:2 4:0 5:1 6:2
+1 1:43 2:35 3:0 4:5 5:6 6:0
+1 1:17 2:13 3:2 4:3 5:2 6:1
+1 1:85 2:52 3:0 4:0 5:0 6:3
+1 1:49 2:32 3:0 4:0 5:0 6:1
+1 1:43 2:36 3:8 4:0 5:7 6:0
+1 1:37 2:30 3:0 4:1 5:0 6:3
+1 1:29 2:18 3:0 4:2 5:1 6:2
+1 1:75 2:38 3:1 4:3 5:0 6:0
+1 1:64 2:29 3:3 4:1 5:6 6:4
+1 1:59 2:78 3:0 4:2 5:6 6:3
+1 1:81 2:51 3:1 4:0 5:4 6:1
+1 1:36 2:21 3:1 4:0 5:5 6:3
+1 1:36 2:29 3:2 4:0 5:1 6:0
+1 1:51 2:43 3:0 4:0 5:0 6:0
+1 1:31 2:33 3:0 4:0 5:2 6:0
+1 1:28 2:16 3:2 4:0 5:0 6:1
+1 1:48 2:8 3:3 4:1 5:6 6:1
+1 1:37 2:19 3:0 4:1 5:8 6:0
+1 1:55 2:53 3:3 4:5 5:5 6:5
+1 1:24 2:17 3:2 4:1 5:4 6:3
+1 1:27 2:31 3:0 4:0 5:1 6:0
+1 1:45 2:17 3:1 4:1 5:0 6:0
+1 1:33 2:22 3:1 4:2 5:11 6:4
+1 1:58 2:45 3:1 4:0 5:0 6:0
+1 1:31 2:19 3:0 4:0 5:4 6:4
+1 1:32 2:18 3:2 4:0 5:0 6:0
+1 1:22 2:25 3:0 4:0 5:2 6:0
+1 1:62 2:44 3:0 4:0 5:6 6:0
+1 1:46 2:45 3:4 4:4 5:4 6:0
+1 1:60 2:21 3:8 4:2 5:5 6:0
+1 1:85 2:46 3:6 4:3 5:11 6:2
+1 1:51 2:24 3:14 4:2 5:5 6:0
+1 1:19 2:14 3:1 4:0 5:0 6:0
+1 1:75 2:44 3:0 4:0 5:3 6:4
+1 1:45 2:21 3:0 4:1 5:1 6:1
+1 1:48 2:31 3:0 4:1 5:0 6:0
+1 1:39 2:21 3:2 4:1 5:3 6:0
+1 1:44 2:35 3:3 4:5 5:0 6:0
+1 1:40 2:18 3:1 4:0 5:1 6:0
+1 1:26 2:14 3:0 4:0 5:0 6:0
+1 1:48 2:35 3:4 4:0 5:5 6:0
+1 1:45 2:19 3:0 4:0 5:0 6:0
+1 1:40 2:23 3:2 4:0 5:4 6:1
+1 1:30 2:19 3:2 4:0 5:2 6:0
+1 1:25 2:17 3:2 4:0 5:2 6:1
+1 1:64 2:29 3:1 4:3 5:0 6:0
+1 1:35 2:36 3:2 4:0 5:0 6:0
+1 1:62 2:22 3:3 4:0 5:3 6:0
+1 1:19 2:6 3:0 4:0 5:1 6:0
+1 1:87 2:61 3:0 4:0 5:0 6:0
+1 1:132 2:51 3:0 4:0 5:5 6:1
+1 1:54 2:21 3:0 4:1 5:0 6:0
+1 1:45 2:34 3:0 4:2 5:2 6:0
+1 1:57 2:28 3:0 4:0 5:5 6:1
+1 1:47 2:37 3:1 4:0 5:3 6:0
+1 1:40 2:31 3:0 4:2 5:1 6:0
+1 1:75 2:58 3:0 4:0 5:6 6:1
+1 1:21 2:26 3:0 4:2 5:2 6:0
+1 1:47 2:32 3:2 4:0 5:5 6:1
+1 1:24 2:34 3:0 4:0 5:1 6:2
+1 1:23 2:18 3:8 4:0 5:1 6:0
+1 1:37 2:19 3:1 4:1 5:0 6:1
+1 1:38 2:26 3:4 4:3 5:4 6:1
+1 1:26 2:22 3:0 4:0 5:0 6:0
+1 1:50 2:45 3:4 4:0 5:3 6:1
+1 1:44 2:25 3:1 4:2 5:0 6:0
+1 1:27 2:28 3:2 4:0 5:1 6:0
+1 1:40 2:29 3:1 4:0 5:1 6:1
+1 1:42 2:22 3:0 4:0 5:3 6:0
+1 1:31 2:20 3:3 4:1 5:1 6:0
+1 1:42 2:21 3:0 4:0 5:3 6:0
+1 1:14 2:19 3:1 4:1 5:1 6:2
+1 1:37 2:22 3:3 4:2 5:0 6:2
+1 1:51 2:35 3:0 4:0 5:4 6:0
+1 1:47 2:29 3:3 4:6 5:1 6:0
+1 1:30 2:20 3:0 4:0 5:1 6:0
+1 1:28 2:29 3:0 4:1 5:0 6:0
+1 1:44 2:28 3:1 4:1 5:5 6:2
+1 1:40 2:16 3:2 4:4 5:2 6:1
+1 1:42 2:17 3:1 4:1 5:1 6:1
