39 , 43 , 4 , 1 , 3 , 0 , pos
39 , 29 , 4 , 3 , 2 , 3 , pos
35 , 24 , 2 , 0 , 7 , 2 , pos
63 , 49 , 0 , 0 , 0 , 0 , pos
23 , 31 , 1 , 0 , 3 , 0 , pos
70 , 34 , 2 , 0 , 1 , 0 , pos
53 , 44 , 1 , 3 , 4 , 8 , pos
49 , 16 , 1 , 0 , 3 , 2 , pos
15 , 19 , 2 , 2 , 0 , 2 , pos
34 , 24 , 0 , 3 , 0 , 0 , pos
44 , 46 , 1 , 3 , 4 , 0 , pos
67 , 38 , 0 , 0 , 8 , 1 , pos
31 , 12 , 3 , 0 , 2 , 3 , pos
15 , 16 , 0 , 4 , 1 , 0 , pos
58 , 46 , 0 , 3 , 2 , 0 , pos
43 , 21 , 4 , 3 , 1 , 2 , pos
18 , 12 , 1 , 0 , 2 , 0 , pos
56 , 34 , 3 , 3 , 3 , 1 , pos
35 , 26 , 0 , 0 , 3 , 0 , pos
29 , 20 , 2 , 0 , 1 , 2 , pos
18 , 10 , 0 , 0 , 0 , 0 , pos
53 , 31 , 2 , 3 , 5 , 0 , pos
32 , 18 , 0 , 0 , 0 , 1 , pos
64 , 42 , 3 , 0 , 4 , 1 , pos
43 , 54 , 0 , 1 , 0 , 2 , pos
44 , 26 , 1 , 2 , 0 , 0 , pos
38 , 17 , 1 , 0 , 0 , 0 , pos
91 , 52 , 8 , 2 , 6 , 0 , pos
65 , 41 , 6 , 2 , 0 , 0 , pos
61 , 44 , 0 , 0 , 1 , 0 , pos
73 , 50 , 1 , 1 , 1 , 3 , pos
66 , 58 , 0 , 0 , 0 , 0 , pos
47 , 43 , 3 , 0 , 4 , 2 , pos
68 , 72 , 2 , 0 , 3 , 3 , pos
34 , 22 , 0 , 1 , 1 , 2 , pos
49 , 11 , 0 , 0 , 3 , 2 , pos
27 , 19 , 0 , 0 , 0 , 0 , pos
62 , 39 , 0 , 0 , 0 , 0 , pos
31 , 13 , 0 , 0 , 1 , 0 , pos
49 , 20 , 0 , 0 , 3 , 3 , pos
52 , 21 , 1 , 0 , 5 , 1 , pos
56 , 58 , 1 , 0 , 3 , 0 , pos
61 , 23 , 4 , 0 , 1 , 0 , pos
41 , 19 , 1 , 0 , 7 , 2 , pos
56 , 16 , 3 , 1 , 0 , 0 , pos
48 , 34 , 0 , 0 , 5 , 0 , pos
48 , 52 , 0 , 0 , 3 , 3 , pos
35 , 35 , 0 , 2 , 1 , 0 , pos
44 , 9 , 2 , 1 , 2 , 1 , pos
17 , 13 , 0 , 2 , 3 , 0 , pos
21 , 16 , 0 , 0 , 3 , 0 , pos
59 , 28 , 0 , 0 , 6 , 0 , pos
36 , 11 , 0 , 0 , 2 , 0 , pos
50 , 61 , 2 , 4 , 5 , 0 , pos
33 , 20 , 1 , 3 , 0 , 0 , pos
54 , 19 , 2 , 2 , 2 , 0 , pos
25 , 17 , 1 , 2 , 0 , 0 , pos
12 , 3 , 1 , 1 , 1 , 0 , pos
14 , 15 , 3 , 0 , 1 , 4 , pos
45 , 44 , 0 , 2 , 0 , 3 , pos
66 , 36 , 2 , 0 , 4 , 4 , pos
42 , 26 , 1 , 0 , 0 , 0 , pos
64 , 49 , 1 , 2 , 4 , 0 , pos
17 , 23 , 0 , 0 , 2 , 0 , pos
41 , 40 , 0 , 0 , 2 , 6 , pos
47 , 52 , 1 , 0 , 0 , 0 , pos
27 , 22 , 2 , 0 , 6 , 6 , pos
41 , 37 , 1 , 2 , 1 , 3 , pos
41 , 25 , 2 , 1 , 6 , 4 , pos
52 , 35 , 2 , 8 , 1 , 0 , pos
43 , 38 , 5 , 1 , 5 , 1 , pos
55 , 25 , 2 , 1 , 5 , 0 , pos
47 , 27 , 2 , 1 , 5 , 1 , pos
50 , 29 , 0 , 0 , 2 , 2 , pos
77 , 45 , 0 , 0 , 0 , 0 , pos
17 , 12 , 2 , 0 , 1 , 0 , pos
67 , 52 , 1 , 0 , 0 , 0 , pos
36 , 22 , 5 , 0 , 0 , 0 , pos
36 , 19 , 1 , 1 , 0 , 0 , pos
19 , 32 , 2 , 2 , 0 , 0 , pos
26 , 22 , 3 , 0 , 0 , 0 , pos
57 , 22 , 0 , 0 , 4 , 0 , pos
27 , 17 , 0 , 0 , 0 , 0 , pos
76 , 30 , 0 , 2 , 10 , 0 , pos
52 , 31 , 2 , 4 , 4 , 3 , pos
36 , 14 , 0 , 1 , 3 , 0 , pos
67 , 37 , 1 , 1 , 3 , 0 , pos
55 , 36 , 0 , 3 , 4 , 0 , pos
59 , 38 , 8 , 5 , 2 , 3 , pos
36 , 18 , 4 , 2 , 2 , 0 , pos
13 , 17 , 2 , 4 , 0 , 0 , pos
29 , 29 , 1 , 0 , 3 , 1 , pos
40 , 46 , 0 , 1 , 9 , 2 , pos
30 , 16 , 2 , 1 , 0 , 0 , pos
72 , 19 , 4 , 1 , 0 , 1 , pos
37 , 32 , 0 , 2 , 3 , 0 , pos
50 , 33 , 3 , 5 , 3 , 2 , pos
39 , 39 , 0 , 3 , 0 , 3 , pos
17 , 29 , 0 , 1 , 1 , 3 , pos
56 , 57 , 0 , 1 , 0 , 1 , pos
49 , 27 , 1 , 5 , 5 , 2 , pos
57 , 44 , 0 , 0 , 9 , 0 , pos
52 , 28 , 1 , 1 , 0 , 0 , pos
47 , 28 , 4 , 0 , 0 , 0 , pos
27 , 28 , 1 , 1 , 0 , 0 , pos
73 , 71 , 0 , 4 , 0 , 0 , pos
44 , 48 , 4 , 1 , 2 , 2 , pos
28 , 42 , 0 , 4 , 1 , 5 , pos
25 , 17 , 1 , 3 , 1 , 3 , pos
44 , 59 , 3 , 3 , 5 , 4 , pos
64 , 40 , 0 , 2 , 1 , 2 , pos
19 , 8 , 3 , 0 , 0 , 0 , pos
53 , 51 , 2 , 0 , 1 , 2 , pos
43 , 35 , 0 , 5 , 6 , 0 , pos
17 , 13 , 2 , 3 , 2 , 1 , pos
85 , 52 , 0 , 0 , 0 , 3 , pos
49 , 32 , 0 , 0 , 0 , 1 , pos
43 , 36 , 8 , 0 , 7 , 0 , pos
37 , 30 , 0 , 1 , 0 , 3 , pos
29 , 18 , 0 , 2 , 1 , 2 , pos
75 , 38 , 1 , 3 , 0 , 0 , pos
64 , 29 , 3 , 1 , 6 , 4 , pos
59 , 78 , 0 , 2 , 6 , 3 , pos
81 , 51 , 1 , 0 , 4 , 1 , pos
36 , 21 , 1 , 0 , 5 , 3 , pos
36 , 29 , 2 , 0 , 1 , 0 , pos
51 , 43 , 0 , 0 , 0 , 0 , pos
31 , 33 , 0 , 0 , 2 , 0 , pos
28 , 16 , 2 , 0 , 0 , 1 , pos
48 , 8 , 3 , 1 , 6 , 1 , pos
37 , 19 , 0 , 1 , 8 , 0 , pos
55 , 53 , 3 , 5 , 5 , 5 , pos
24 , 17 , 2 , 1 , 4 , 3 , pos
27 , 31 , 0 , 0 , 1 , 0 , pos
45 , 17 , 1 , 1 , 0 , 0 , pos
33 , 22 , 1 , 2 , 11 , 4 , pos
58 , 45 , 1 , 0 , 0 , 0 , pos
31 , 19 , 0 , 0 , 4 , 4 , pos
32 , 18 , 2 , 0 , 0 , 0 , pos
22 , 25 , 0 , 0 , 2 , 0 , pos
62 , 44 , 0 , 0 , 6 , 0 , pos
46 , 45 , 4 , 4 , 4 , 0 , pos
60 , 21 , 8 , 2 , 5 , 0 , pos
