6 1:3 2:0 3:1 4:2 5:13 6:2 7:3 8:4 9:5 10:100 11:4 12:5
6 1:2 2:0 3:1 4:0 5:9 6:4 7:1 8:2 9:8 10:34 11:1 12:0
6 1:4 2:0 3:0 4:0 5:16 6:2 7:0 8:3 9:5 10:255 11:5 12:6
6 1:6 2:0 3:0 4:1 5:22 6:2 7:2 8:3 9:5 10:43 11:3 12:2
6 1:1 2:0 3:0 4:0 5:6 6:2 7:2 8:2 9:3 10:81 11:3 12:1
1 1:1 2:2 3:1 4:0 5:11 6:3 7:3 8:4 9:1 10:188 11:4 12:7
6 1:6 2:0 3:0 4:0 5:22 6:3 7:3 8:3 9:5 10:165 11:3 12:3
3 1:1 2:0 3:0 4:0 5:11 6:0 7:5 8:4 9:3 10:113 11:1 12:0
3 1:1 2:0 3:0 4:1 5:7 6:2 7:0 8:4 9:3 10:113 11:0 12:0
1 1:4 2:1 3:0 4:0 5:13 6:1 7:2 8:4 9:3 10:88 11:3 12:3
1 1:6 2:1 3:1 4:0 5:22 6:2 7:3 8:4 9:5 10:182 11:5 12:8
6 1:3 2:0 3:2 4:1 5:11 6:0 7:2 8:4 9:10 10:215 11:0 12:2
1 1:1 2:1 3:2 4:0 5:14 6:1 7:5 8:4 9:5 10:215 11:0 12:0
1 1:5 2:2 3:0 4:0 5:19 6:8 7:7 8:4 9:6 10:146 11:8 12:15
3 1:1 2:0 3:2 4:0 5:10 6:0 7:3 8:4 9:5 10:57 11:1 12:2
3 1:2 2:1 3:0 4:0 5:21 6:6 7:5 8:4 9:6 10:489 11:6 12:15
4 1:4 2:0 3:1 4:0 5:17 6:1 7:1 8:3 9:7 10:489 11:0 12:0
3 1:1 2:0 3:1 4:0 5:10 6:3 7:2 8:3 9:5 10:196 11:3 12:4
6 1:6 2:0 3:0 4:0 5:7 6:2 7:2 8:3 9:6 10:128 11:6 12:3
1 1:2 2:1 3:2 4:1 5:7 6:11 7:8 8:3 9:8 10:175 11:3 12:6
6 1:7 2:1 3:2 4:1 5:22 6:8 7:1 8:4 9:5 10:175 11:0 12:0
3 1:2 2:1 3:2 4:0 5:12 6:2 7:3 8:4 9:7 10:236 11:4 12:5
3 1:0 2:0 3:2 4:1 5:22 6:3 7:13 8:6 9:7 10:236 11:0 12:0
3 1:1 2:0 3:2 4:0 5:11 6:3 7:4 8:4 9:5 10:94 11:0 12:2
6 1:3 2:0 3:2 4:0 5:17 6:2 7:2 8:2 9:1 10:85 11:1 12:2
6 1:9 2:0 3:0 4:0 5:18 6:5 7:1 8:4 9:5 10:85 11:0 12:0
6 1:3 2:0 3:1 4:2 5:15 6:8 7:2 8:4 9:8 10:237 11:6 12:6
6 1:4 2:1 3:1 4:0 5:13 6:2 7:4 8:4 9:5 10:186 11:6 12:1
1 1:2 2:1 3:2 4:0 5:16 6:5 7:7 8:4 9:7 10:61 11:1 12:2
3 1:2 2:1 3:0 4:0 5:10 6:1 7:3 8:4 9:3 10:100 11:0 12:3
6 1:3 2:0 3:1 4:0 5:9 6:3 7:5 8:4 9:4 10:63 11:4 12:6
3 1:1 2:0 3:0 4:0 5:8 6:0 7:4 8:4 9:3 10:82 11:3 12:5
6 1:5 2:0 3:2 4:0 5:10 6:2 7:2 8:3 9:5 10:173 11:2 12:3
1 1:4 2:1 3:2 4:0 5:18 6:2 7:4 8:4 9:5 10:89 11:1 12:2
6 1:1 2:0 3:1 4:1 5:13 6:2 7:1 8:3 9:5 10:180 11:1 12:3
1 1:3 2:1 3:2 4:0 5:13 6:8 7:2 8:4 9:5 10:28 11:2 12:9
