-1 1:5 2:7 3:12
-1 1:3 2:3 3:0
-1 1:10 2:9 3:3
-1 1:7 2:7 3:5
-1 1:7 2:8 3:7
-1 1:6 2:12 3:7
-1 1:8 2:12 3:1
-1 1:6 2:12 3:7
-1 1:21 2:18 3:4
-1 1:10 2:8 3:9
-1 1:22 2:14 3:5
-1 1:5 2:8 3:2
-1 1:3 2:12 3:2
-1 1:8 2:9 3:7
-1 1:8 2:10 3:2
-1 1:5 2:6 3:6
-1 1:8 2:4 3:6
-1 1:10 2:11 3:2
-1 1:6 2:3 3:3
-1 1:7 2:7 3:9
-1 1:13 2:10 3:5
-1 1:13 2:6 3:7
-1 1:15 2:13 3:5
-1 1:16 2:19 3:4
-1 1:13 2:17 3:7
-1 1:7 2:10 3:7
-1 1:10 2:6 3:3
-1 1:15 2:27 3:6
-1 1:12 2:7 3:9
-1 1:6 2:3 3:2
-1 1:7 2:9 3:4
-1 1:22 2:18 3:9
-1 1:15 2:15 3:6
-1 1:9 2:12 3:1
-1 1:1 2:7 3:5
-1 1:8 2:7 3:5
-1 1:1 2:5 3:4
-1 1:5 2:9 3:3
-1 1:9 2:20 3:5
-1 1:18 2:4 3:3
-1 1:3 2:15 3:4
-1 1:9 2:7 3:5
-1 1:15 2:3 3:4
-1 1:5 2:2 3:3
-1 1:14 2:10 3:2
-1 1:16 2:18 3:5
-1 1:14 2:19 3:5
-1 1:13 2:9 3:5
-1 1:4 2:5 3:4
-1 1:9 2:9 3:4
-1 1:14 2:9 3:3
-1 1:7 2:7 3:4
-1 1:5 2:2 3:3
-1 1:24 2:17 3:8
-1 1:13 2:18 3:4
-1 1:11 2:7 3:1
-1 1:7 2:2 3:6
-1 1:4 2:2 3:3
-1 1:6 2:0 3:1
-1 1:9 2:3 3:3
-1 1:7 2:12 3:3
-1 1:24 2:17 3:7
-1 1:14 2:12 3:2
-1 1:5 2:14 3:7
-1 1:10 2:14 3:5
-1 1:25 2:26 3:5
-1 1:13 2:8 3:9
-1 1:10 2:15 3:4
-1 1:2 2:6 3:5
-1 1:10 2:27 3:2
-1 1:14 2:20 3:1
-1 1:6 2:12 3:8
-1 1:12 2:12 3:11
-1 1:13 2:13 3:3
